TIME,X,Y,Z,ACTION
103,0.18,0.61,9.74,BENDING_DOWN
166,0.28,0.16,9.56,BENDING_DOWN
179,0.26,0.27,9.61,BENDING_DOWN
192,0.24,0.39,9.64,BENDING_DOWN
205,0.23,0.48,9.61,BENDING_DOWN
218,0.26,0.51,9.65,BENDING_DOWN
231,0.25,0.53,9.74,BENDING_DOWN
244,0.23,0.54,9.80,BENDING_DOWN
257,0.17,0.57,9.81,BENDING_DOWN
270,0.12,0.61,9.71,BENDING_DOWN
283,0.09,0.69,9.67,BENDING_DOWN
296,0.05,0.71,9.58,BENDING_DOWN
309,0.08,0.77,9.51,BENDING_DOWN
322,0.14,0.82,9.33,BENDING_DOWN
335,0.17,0.82,9.25,BENDING_DOWN
348,0.17,0.82,9.32,BENDING_DOWN
361,0.11,0.83,9.35,BENDING_DOWN
374,0.04,0.84,9.35,BENDING_DOWN
387,-0.02,0.88,9.34,BENDING_DOWN
400,-0.08,0.91,9.43,BENDING_DOWN
413,-0.11,0.89,9.50,BENDING_DOWN
426,-0.05,0.86,9.56,BENDING_DOWN
439,0.05,0.89,9.67,BENDING_DOWN
452,0.14,1.01,9.78,BENDING_DOWN
465,0.25,1.19,9.88,BENDING_DOWN
478,0.28,1.30,10.09,BENDING_DOWN
491,0.25,1.02,10.41,BENDING_DOWN
504,0.11,0.58,10.73,BENDING_DOWN
517,-0.03,0.26,11.05,BENDING_DOWN
530,-0.09,0.08,11.10,BENDING_DOWN
543,-0.17,0.02,10.86,BENDING_DOWN
556,-0.21,0.09,10.44,BENDING_DOWN
569,-0.29,0.23,9.87,BENDING_DOWN
582,-0.40,0.36,9.41,BENDING_DOWN
595,-0.52,0.37,9.11,BENDING_DOWN
608,-0.65,0.17,9.09,BENDING_DOWN
621,-0.79,0.03,9.08,BENDING_DOWN
634,-0.94,0.01,9.11,BENDING_DOWN
647,-1.14,0.09,9.05,BENDING_DOWN
660,-1.28,0.21,8.98,BENDING_DOWN
673,-1.32,0.34,9.03,BENDING_DOWN
686,-1.32,0.34,8.90,BENDING_DOWN
699,-1.19,0.18,8.70,BENDING_DOWN
712,-1.00,-0.09,8.57,BENDING_DOWN
725,-0.85,-0.38,8.65,BENDING_DOWN
738,-0.63,-0.53,8.77,BENDING_DOWN
751,-0.50,-0.59,8.77,BENDING_DOWN
764,-0.45,-0.57,8.60,BENDING_DOWN
777,-0.40,-0.56,8.29,BENDING_DOWN
790,-0.39,-0.61,8.00,BENDING_DOWN
803,-0.39,-0.73,7.84,BENDING_DOWN
816,-0.43,-0.82,7.69,BENDING_DOWN
829,-0.48,-0.75,7.47,BENDING_DOWN
842,-0.30,-0.50,7.15,BENDING_DOWN
855,-0.02,-0.32,7.18,BENDING_DOWN
868,0.06,-0.24,7.30,BENDING_DOWN
881,0.05,-0.23,7.34,BENDING_DOWN
894,0.06,-0.23,7.21,BENDING_DOWN
907,0.08,-0.31,7.18,BENDING_DOWN
920,0.10,-0.35,7.31,BENDING_DOWN
933,0.11,-0.31,7.46,BENDING_DOWN
946,0.13,-0.22,7.47,BENDING_DOWN
959,0.27,-0.20,7.35,BENDING_DOWN
972,0.29,-0.19,7.16,BENDING_DOWN
985,0.21,-0.28,6.95,BENDING_DOWN
998,0.07,-0.45,6.95,BENDING_DOWN
1011,0.04,-0.50,7.15,BENDING_DOWN
1024,0.15,-0.41,7.23,BENDING_DOWN
1037,0.29,-0.31,7.21,BENDING_DOWN
1050,0.38,-0.21,7.05,BENDING_DOWN
1063,0.34,-0.20,6.84,BENDING_DOWN
1076,0.30,-0.20,6.72,BENDING_DOWN
1089,0.25,-0.17,6.76,BENDING_DOWN
1102,0.28,-0.25,6.93,BENDING_DOWN
1115,0.25,-0.45,7.29,BENDING_DOWN
1128,0.13,-0.46,7.60,BENDING_DOWN
1141,0.22,-0.47,8.00,BENDING_DOWN
1154,0.17,-0.54,8.40,BENDING_DOWN
1167,-0.02,-0.73,8.62,BENDING_DOWN
1180,-0.30,-0.89,8.77,BENDING_DOWN
1193,-0.55,-0.90,9.02,BENDING_DOWN
1206,-0.59,-0.74,9.33,BENDING_DOWN
1219,-0.47,-0.49,9.80,BENDING_DOWN
1232,-0.23,-0.29,10.07,BENDING_DOWN
1245,0.02,-0.20,10.01,BENDING_DOWN
1258,0.13,-0.22,9.71,BENDING_DOWN
1271,0.18,-0.14,9.49,BENDING_DOWN
1284,0.18,0.02,9.42,BENDING_DOWN
1297,0.12,0.11,9.64,BENDING_DOWN
1310,-0.06,0.13,10.07,BENDING_DOWN
1323,-0.25,0.24,10.49,BENDING_DOWN
1336,-0.26,0.53,10.72,BENDING_DOWN
1349,-0.11,0.78,10.79,BENDING_DOWN
1362,0.23,0.80,11.01,BENDING_DOWN
1375,0.41,0.65,11.20,BENDING_DOWN
1388,0.50,0.44,11.18,BENDING_DOWN
1401,0.42,0.26,11.34,BENDING_DOWN
1414,0.12,-0.03,11.50,BENDING_DOWN
1427,-0.23,-0.18,11.58,BENDING_DOWN
1440,-0.52,-0.18,11.62,BENDING_DOWN
1453,-0.69,-0.21,11.64,BENDING_DOWN
1466,-0.81,-0.26,11.73,BENDING_DOWN
1479,-0.94,-0.26,11.75,BENDING_DOWN
1492,-1.07,-0.24,11.80,BENDING_DOWN
1505,-1.09,-0.23,11.67,BENDING_DOWN
1518,-1.11,-0.31,11.48,BENDING_DOWN
1531,-1.19,-0.40,11.20,BENDING_DOWN
1544,-1.28,-0.40,11.06,BENDING_DOWN
1557,-1.32,-0.39,10.89,BENDING_DOWN
1570,-1.31,-0.41,10.73,BENDING_DOWN
1583,-1.16,-0.46,10.79,BENDING_DOWN
1596,-0.90,-0.48,10.84,BENDING_DOWN
1609,-0.69,-0.48,10.85,BENDING_DOWN
1622,-0.57,-0.43,10.75,BENDING_DOWN
1635,-0.51,-0.39,10.57,BENDING_DOWN
1648,-0.45,-0.38,10.54,BENDING_DOWN
1661,-0.50,-0.46,10.58,BENDING_DOWN
1674,-0.43,-0.51,10.70,BENDING_DOWN
1699,-0.15,-0.40,11.00,BENDING_DOWN
1712,-0.19,-0.38,11.11,BENDING_DOWN
1725,-0.30,-0.42,11.06,BENDING_DOWN
1738,-0.38,-0.46,10.89,BENDING_DOWN
1751,-0.43,-0.55,10.83,BENDING_DOWN
1764,-0.48,-0.57,10.89,BENDING_DOWN
1777,-0.55,-0.54,11.21,BENDING_DOWN
1790,-0.66,-0.45,11.61,BENDING_DOWN
1803,-0.74,-0.37,11.75,BENDING_DOWN
1816,-0.71,-0.32,11.66,BENDING_DOWN
1829,-0.66,-0.38,11.44,BENDING_DOWN
1842,-0.59,-0.57,11.34,BENDING_DOWN
1855,-0.46,-0.65,11.16,BENDING_DOWN
1868,-0.30,-0.63,11.04,BENDING_DOWN
1881,-0.37,-0.66,11.13,BENDING_DOWN
1894,-0.53,-0.59,11.46,BENDING_DOWN
1907,-0.67,-0.33,11.99,BENDING_DOWN
1920,-0.73,-0.04,12.41,BENDING_DOWN
1933,-0.76,0.17,12.71,BENDING_DOWN
1946,-0.78,0.23,12.87,BENDING_DOWN
1959,-0.74,0.11,12.84,BENDING_DOWN
1972,-0.73,-0.16,12.87,BENDING_DOWN
1985,-0.69,-0.33,13.11,BENDING_DOWN
1998,-0.59,-0.33,13.48,BENDING_DOWN
2011,-0.46,-0.17,13.74,BENDING_DOWN
2024,-0.31,-0.05,13.91,BENDING_DOWN
2037,-0.18,-0.05,14.06,BENDING_DOWN
2050,-0.09,-0.30,14.08,BENDING_DOWN
2063,-0.14,-0.60,13.99,BENDING_DOWN
2076,-0.13,-0.82,13.80,BENDING_DOWN
2089,-0.05,-0.90,13.66,BENDING_DOWN
2102,0.05,-0.94,13.41,BENDING_DOWN
2115,0.09,-0.96,13.15,BENDING_DOWN
2128,0.10,-1.03,12.78,BENDING_DOWN
2141,0.07,-1.08,12.45,BENDING_DOWN
2154,-0.03,-1.12,12.22,BENDING_DOWN
2167,-0.10,-1.10,11.99,BENDING_DOWN
2180,-0.14,-1.02,11.87,BENDING_DOWN
2193,-0.21,-0.96,11.82,BENDING_DOWN
2206,-0.32,-0.88,11.83,BENDING_DOWN
2219,-0.38,-0.77,11.89,BENDING_DOWN
2232,-0.42,-0.74,11.80,BENDING_DOWN
2245,-0.49,-0.75,11.78,BENDING_DOWN
2258,-0.55,-0.73,11.66,BENDING_DOWN
2271,-0.52,-0.62,11.55,BENDING_DOWN
2284,-0.48,-0.50,11.44,BENDING_DOWN
2297,-0.43,-0.42,11.43,BENDING_DOWN
2310,-0.39,-0.40,11.42,BENDING_DOWN
2323,-0.43,-0.38,11.51,BENDING_DOWN
2336,-0.47,-0.34,11.43,BENDING_DOWN
2349,-0.39,-0.34,11.39,BENDING_DOWN
2362,-0.30,-0.34,11.36,BENDING_DOWN
2375,-0.21,-0.37,11.40,BENDING_DOWN
2388,-0.08,-0.41,11.39,BENDING_DOWN
2401,-0.05,-0.48,11.26,BENDING_DOWN
2414,-0.01,-0.56,11.23,BENDING_DOWN
2427,-0.03,-0.57,11.09,BENDING_DOWN
2440,-0.06,-0.57,10.93,BENDING_DOWN
2453,-0.06,-0.64,10.72,BENDING_DOWN
2466,0.03,-0.72,10.49,BENDING_DOWN
2479,0.09,-0.74,10.21,BENDING_DOWN
2492,0.15,-0.75,9.88,BENDING_DOWN
2505,0.22,-0.71,9.55,BENDING_DOWN
2518,0.22,-0.68,9.42,BENDING_DOWN
2531,0.06,-0.66,9.41,BENDING_DOWN
2544,-0.20,-0.56,9.53,BENDING_DOWN
2557,-0.35,-0.39,9.59,BENDING_DOWN
2570,-0.50,-0.31,9.48,BENDING_DOWN
2583,-0.66,-0.34,9.17,BENDING_DOWN
2596,-0.83,-0.46,8.81,BENDING_DOWN
2609,-0.81,-0.42,8.33,BENDING_DOWN
2622,-0.70,-0.45,7.94,BENDING_DOWN
2635,-0.66,-0.41,7.72,BENDING_DOWN
2648,-0.71,-0.38,7.92,BENDING_DOWN
2661,-0.83,-0.20,8.11,BENDING_DOWN
2674,-0.79,-0.03,8.14,BENDING_DOWN
2687,-0.68,0.02,8.01,BENDING_DOWN
2700,-0.62,-0.04,7.80,BENDING_DOWN
2713,-0.51,-0.15,7.61,BENDING_DOWN
2726,-0.50,-0.30,7.40,BENDING_DOWN
2739,-0.60,-0.37,7.20,BENDING_DOWN
2752,-0.58,-0.43,7.33,BENDING_DOWN
2765,-0.79,-0.40,7.56,BENDING_DOWN
2778,-0.87,-0.19,7.80,BENDING_DOWN
2791,-0.98,-0.02,7.92,BENDING_DOWN
2804,-0.91,0.12,7.98,BENDING_DOWN
2817,-0.85,0.12,7.93,BENDING_DOWN
2830,-0.75,0.05,7.78,BENDING_DOWN
