TIME,X,Y,Z,ACTION
103,-0.43,-0.31,9.48,FALLING_BACKWARDS
166,-0.03,-0.46,9.45,FALLING_BACKWARDS
179,-0.08,-0.40,9.55,FALLING_BACKWARDS
192,-0.14,-0.36,9.53,FALLING_BACKWARDS
205,-0.17,-0.33,9.42,FALLING_BACKWARDS
218,-0.17,-0.31,9.30,FALLING_BACKWARDS
231,-0.19,-0.39,9.29,FALLING_BACKWARDS
244,-0.22,-0.40,9.46,FALLING_BACKWARDS
257,-0.31,-0.39,9.72,FALLING_BACKWARDS
270,-0.37,-0.36,9.83,FALLING_BACKWARDS
283,-0.36,-0.39,9.78,FALLING_BACKWARDS
296,-0.29,-0.53,9.68,FALLING_BACKWARDS
309,-0.25,-0.75,9.58,FALLING_BACKWARDS
322,-0.17,-0.90,9.55,FALLING_BACKWARDS
335,-0.06,-0.94,9.57,FALLING_BACKWARDS
348,0.02,-0.87,9.58,FALLING_BACKWARDS
361,0.09,-0.85,9.66,FALLING_BACKWARDS
374,0.14,-0.84,9.69,FALLING_BACKWARDS
387,0.28,-0.87,9.70,FALLING_BACKWARDS
400,0.51,-0.68,9.56,FALLING_BACKWARDS
413,0.75,-0.51,9.43,FALLING_BACKWARDS
426,0.85,-0.46,9.19,FALLING_BACKWARDS
439,0.87,-0.51,8.97,FALLING_BACKWARDS
452,0.97,-0.57,9.09,FALLING_BACKWARDS
465,1.17,-0.60,9.40,FALLING_BACKWARDS
478,1.28,-0.62,9.58,FALLING_BACKWARDS
491,1.36,-0.63,9.50,FALLING_BACKWARDS
504,1.47,-0.73,9.45,FALLING_BACKWARDS
517,1.63,-0.82,9.56,FALLING_BACKWARDS
530,1.90,-0.92,10.01,FALLING_BACKWARDS
543,2.25,-1.05,10.03,FALLING_BACKWARDS
556,2.40,-1.22,9.72,FALLING_BACKWARDS
569,2.33,-1.43,9.58,FALLING_BACKWARDS
582,2.32,-1.53,9.53,FALLING_BACKWARDS
595,2.47,-1.53,9.50,FALLING_BACKWARDS
608,2.62,-1.57,9.64,FALLING_BACKWARDS
621,2.77,-1.72,9.83,FALLING_BACKWARDS
634,2.76,-1.78,9.98,FALLING_BACKWARDS
647,2.72,-1.87,10.19,FALLING_BACKWARDS
660,2.67,-1.84,10.15,FALLING_BACKWARDS
673,2.53,-1.84,10.02,FALLING_BACKWARDS
686,2.37,-1.94,9.96,FALLING_BACKWARDS
699,2.19,-2.11,10.06,FALLING_BACKWARDS
712,2.02,-2.21,10.21,FALLING_BACKWARDS
725,1.86,-2.16,10.40,FALLING_BACKWARDS
738,1.79,-2.05,10.62,FALLING_BACKWARDS
751,1.80,-2.02,10.63,FALLING_BACKWARDS
764,1.73,-2.03,10.48,FALLING_BACKWARDS
777,1.61,-2.12,10.27,FALLING_BACKWARDS
790,1.54,-2.15,10.12,FALLING_BACKWARDS
803,1.44,-2.10,9.93,FALLING_BACKWARDS
816,1.35,-1.92,9.83,FALLING_BACKWARDS
829,1.22,-1.69,9.66,FALLING_BACKWARDS
842,1.06,-1.58,9.40,FALLING_BACKWARDS
855,0.80,-1.59,9.21,FALLING_BACKWARDS
