TIME,X,Y,Z,ACTION
162,-5.83,0.00,0.00,FALLING_FORWARD
284,-4.60,-24.17,10.11,FALLING_FORWARD
357,-4.60,103.13,16.55,FALLING_FORWARD
432,-4.60,103.13,16.55,FALLING_FORWARD
505,-4.60,103.13,16.55,FALLING_FORWARD
577,-4.60,103.13,16.55,FALLING_FORWARD
650,-4.60,103.13,16.55,FALLING_FORWARD
723,-4.60,103.13,16.55,FALLING_FORWARD
795,-4.60,103.13,16.55,FALLING_FORWARD
868,-4.60,103.13,16.55,FALLING_FORWARD
941,-4.60,103.13,16.55,FALLING_FORWARD
1014,-4.60,103.13,16.55,FALLING_FORWARD
1086,-4.60,103.13,16.55,FALLING_FORWARD
1159,-4.60,103.13,16.55,FALLING_FORWARD
1232,-4.60,103.13,16.55,FALLING_FORWARD
1304,-4.60,103.13,16.55,FALLING_FORWARD
1378,-4.60,103.13,16.55,FALLING_FORWARD
1451,-4.60,103.13,16.55,FALLING_FORWARD
1523,-4.60,103.13,16.55,FALLING_FORWARD
1596,-4.60,103.13,16.55,FALLING_FORWARD
1669,-4.60,103.13,16.55,FALLING_FORWARD
1741,-4.60,103.13,16.55,FALLING_FORWARD
1814,-4.60,103.13,16.55,FALLING_FORWARD
1887,-4.60,103.13,16.55,FALLING_FORWARD
1960,-4.60,103.13,16.55,FALLING_FORWARD
2032,-4.60,103.13,16.55,FALLING_FORWARD
2105,-4.60,103.13,16.55,FALLING_FORWARD
2178,-4.60,103.13,16.55,FALLING_FORWARD
2252,-4.60,103.13,16.55,FALLING_FORWARD
2325,-4.60,103.13,16.55,FALLING_FORWARD
2397,-4.60,103.13,16.55,FALLING_FORWARD
2470,-4.60,103.13,16.55,FALLING_FORWARD
2543,-4.60,103.13,16.55,FALLING_FORWARD
2615,-4.60,103.13,16.55,FALLING_FORWARD
2688,-4.60,103.13,16.55,FALLING_FORWARD
2761,-4.60,103.13,16.55,FALLING_FORWARD
