TIME,X,Y,Z,ACTION
162,-5.83,0.00,0.00,HAND_WAVING
284,-4.60,-24.17,10.11,HAND_WAVING
357,-4.60,103.13,16.55,HAND_WAVING
429,-4.60,103.13,16.55,HAND_WAVING
502,-4.60,103.13,16.55,HAND_WAVING
575,-4.60,103.13,16.55,HAND_WAVING
647,-4.60,103.13,16.55,HAND_WAVING
720,-4.60,103.13,16.55,HAND_WAVING
793,-4.60,103.13,16.55,HAND_WAVING
866,-4.60,103.13,16.55,HAND_WAVING
938,-4.60,103.13,16.55,HAND_WAVING
1011,-4.60,103.13,16.55,HAND_WAVING
1084,-4.60,103.13,16.55,HAND_WAVING
1156,-4.60,103.13,16.55,HAND_WAVING
1229,-4.60,103.13,16.55,HAND_WAVING
1302,-4.60,103.13,16.55,HAND_WAVING
1374,-4.60,103.13,16.55,HAND_WAVING
1447,-4.60,103.13,16.55,HAND_WAVING
1520,-4.60,103.13,16.55,HAND_WAVING
1593,-4.60,103.13,16.55,HAND_WAVING
1665,-4.60,103.13,16.55,HAND_WAVING
1738,-4.60,103.13,16.55,HAND_WAVING
1811,-4.60,103.13,16.55,HAND_WAVING
1883,-4.60,103.13,16.55,HAND_WAVING
1956,-4.60,103.13,16.55,HAND_WAVING
2029,-4.60,103.13,16.55,HAND_WAVING
2102,-4.60,103.13,16.55,HAND_WAVING
2174,-4.60,103.13,16.55,HAND_WAVING
2247,-4.60,103.13,16.55,HAND_WAVING
2320,-4.60,103.13,16.55,HAND_WAVING
2392,-4.60,103.13,16.55,HAND_WAVING
2465,-4.60,103.13,16.55,HAND_WAVING
2538,-4.60,103.13,16.55,HAND_WAVING
2611,-4.60,103.13,16.55,HAND_WAVING
2683,-4.60,103.13,16.55,HAND_WAVING
2756,-4.60,103.13,16.55,HAND_WAVING
2829,-4.60,103.13,16.55,HAND_WAVING
2901,-4.60,103.13,16.55,HAND_WAVING
2974,-4.60,103.13,16.55,HAND_WAVING
3047,-4.60,103.13,16.55,HAND_WAVING
3119,-4.60,103.13,16.55,HAND_WAVING
3192,-4.60,103.13,16.55,HAND_WAVING
3265,-4.60,103.13,16.55,HAND_WAVING
3338,-4.60,103.13,16.55,HAND_WAVING
3410,-4.60,103.13,16.55,HAND_WAVING
3483,-4.60,103.13,16.55,HAND_WAVING
3556,-4.60,103.13,16.55,HAND_WAVING
3628,-4.60,103.13,16.55,HAND_WAVING
3701,-4.60,103.13,16.55,HAND_WAVING
3774,-4.60,103.13,16.55,HAND_WAVING
3847,-4.60,103.13,16.55,HAND_WAVING
3919,-4.60,103.13,16.55,HAND_WAVING
3992,-4.60,103.13,16.55,HAND_WAVING
4065,-4.60,103.13,16.55,HAND_WAVING
4137,-4.60,103.13,16.55,HAND_WAVING
4210,-4.60,103.13,16.55,HAND_WAVING
4283,-4.60,103.13,16.55,HAND_WAVING
4356,-4.60,103.13,16.55,HAND_WAVING
4428,-4.60,103.13,16.55,HAND_WAVING
4501,-4.60,103.13,16.55,HAND_WAVING
4574,-4.60,103.13,16.55,HAND_WAVING
4646,-4.60,103.13,16.55,HAND_WAVING
4719,-4.60,103.13,16.55,HAND_WAVING
4792,-4.60,103.13,16.55,HAND_WAVING
4865,-4.60,103.13,16.55,HAND_WAVING
4937,-4.60,103.13,16.55,HAND_WAVING
5010,-4.60,103.13,16.55,HAND_WAVING
5083,-4.60,103.13,16.55,HAND_WAVING
5155,-4.60,103.13,16.55,HAND_WAVING
5228,-4.60,103.13,16.55,HAND_WAVING
5301,-4.60,103.13,16.55,HAND_WAVING
5373,-4.60,103.13,16.55,HAND_WAVING
5446,-4.60,103.13,16.55,HAND_WAVING
5519,-4.60,103.13,16.55,HAND_WAVING
5592,-4.60,103.13,16.55,HAND_WAVING
5664,-4.60,103.13,16.55,HAND_WAVING
5737,-4.60,103.13,16.55,HAND_WAVING
5810,-4.60,103.13,16.55,HAND_WAVING
5882,-4.60,103.13,16.55,HAND_WAVING
5955,-4.60,103.13,16.55,HAND_WAVING
6028,-4.60,103.13,16.55,HAND_WAVING
6101,-4.60,103.13,16.55,HAND_WAVING
6173,-4.60,103.13,16.55,HAND_WAVING
6246,-4.60,103.13,16.55,HAND_WAVING
6319,-4.60,103.13,16.55,HAND_WAVING
