TIME,X,Y,Z,ACTION
103,-0.93,-1.23,9.21,SITTING
166,-0.24,-0.46,9.01,SITTING
179,-0.16,-0.50,9.28,SITTING
192,-0.03,-0.54,9.54,SITTING
208,0.09,-0.60,9.82,SITTING
221,0.21,-0.71,10.02,SITTING
234,0.27,-0.85,10.07,SITTING
247,0.17,-0.99,10.15,SITTING
260,0.07,-1.05,10.23,SITTING
273,0.03,-1.05,10.21,SITTING
286,-0.00,-0.98,10.08,SITTING
299,0.00,-0.89,9.92,SITTING
312,0.02,-0.83,9.73,SITTING
325,0.02,-0.81,9.60,SITTING
338,0.01,-0.76,9.48,SITTING
351,-0.00,-0.70,9.36,SITTING
364,0.01,-0.68,9.39,SITTING
377,-0.01,-0.69,9.45,SITTING
390,-0.11,-0.70,9.48,SITTING
403,-0.22,-0.68,9.55,SITTING
416,-0.31,-0.67,9.61,SITTING
431,-0.44,-0.65,9.57,SITTING
444,-0.55,-0.62,9.57,SITTING
457,-0.62,-0.59,9.44,SITTING
470,-0.65,-0.62,9.32,SITTING
483,-0.72,-0.65,9.20,SITTING
496,-0.79,-0.71,9.13,SITTING
509,-1.03,-0.67,9.13,SITTING
522,-1.24,-0.62,9.12,SITTING
535,-1.40,-0.53,9.18,SITTING
548,-1.51,-0.37,9.22,SITTING
561,-1.59,-0.21,9.23,SITTING
574,-1.67,-0.12,9.21,SITTING
587,-1.75,-0.11,9.15,SITTING
600,-1.83,-0.21,9.22,SITTING
613,-1.91,-0.32,9.31,SITTING
626,-2.04,-0.37,9.48,SITTING
639,-2.10,-0.36,9.58,SITTING
653,-2.11,-0.37,9.68,SITTING
666,-2.09,-0.39,9.60,SITTING
679,-2.06,-0.51,9.52,SITTING
692,-2.00,-0.60,9.63,SITTING
705,-1.91,-0.65,9.76,SITTING
718,-1.84,-0.66,9.81,SITTING
731,-1.87,-0.65,9.81,SITTING
744,-1.96,-0.61,9.67,SITTING
757,-1.95,-0.52,9.48,SITTING
770,-1.89,-0.36,9.26,SITTING
783,-1.85,-0.21,9.03,SITTING
796,-1.81,-0.07,8.93,SITTING
809,-1.81,-0.00,8.92,SITTING
822,-1.85,-0.02,8.99,SITTING
835,-1.85,-0.00,9.12,SITTING
848,-1.79,0.17,9.29,SITTING
861,-1.75,0.31,9.35,SITTING
874,-1.67,0.34,9.33,SITTING
888,-1.61,0.26,9.38,SITTING
901,-1.51,0.19,9.44,SITTING
914,-1.34,0.14,9.41,SITTING
927,-1.24,0.13,9.28,SITTING
940,-1.02,0.08,9.07,SITTING
953,-0.94,0.00,8.97,SITTING
966,-0.95,-0.03,8.91,SITTING
979,-0.93,-0.09,8.98,SITTING
992,-0.95,-0.19,9.10,SITTING
1005,-1.16,-0.31,9.23,SITTING
1018,-1.49,-0.44,9.26,SITTING
1031,-1.76,-0.60,9.37,SITTING
1044,-2.02,-0.62,9.50,SITTING
1057,-2.21,-0.94,9.59,SITTING
1070,-2.17,-0.90,9.63,SITTING
1083,-2.21,-0.88,9.60,SITTING
1096,-2.23,-0.83,9.43,SITTING
1111,-2.33,-0.79,9.23,SITTING
1124,-2.47,-0.88,9.09,SITTING
1137,-2.69,-0.90,9.07,SITTING
1150,-2.90,-0.89,9.05,SITTING
1163,-3.08,-0.78,9.00,SITTING
1176,-3.18,-0.58,8.91,SITTING
1189,-3.25,-0.41,8.84,SITTING
1202,-3.26,-0.31,8.68,SITTING
1215,-3.24,-0.36,8.52,SITTING
1228,-3.22,-0.45,8.32,SITTING
1241,-3.23,-0.55,8.17,SITTING
1254,-3.23,-0.58,8.03,SITTING
1267,-3.28,-0.54,8.00,SITTING
1280,-3.26,-0.51,7.97,SITTING
1293,-3.15,-0.47,7.94,SITTING
1306,-3.01,-0.52,7.92,SITTING
1321,-2.75,-0.61,7.86,SITTING
1334,-2.56,-0.63,7.79,SITTING
1347,-2.42,-0.56,7.68,SITTING
1360,-2.27,-0.49,7.54,SITTING
1373,-2.16,-0.42,7.48,SITTING
1386,-2.13,-0.47,7.65,SITTING
1399,-2.25,-0.58,8.09,SITTING
1412,-2.37,-0.74,8.60,SITTING
1425,-2.38,-0.85,8.96,SITTING
1438,-2.34,-0.91,9.26,SITTING
1451,-2.22,-0.96,9.39,SITTING
1464,-2.27,-1.04,9.43,SITTING
1477,-2.25,-1.09,9.43,SITTING
1490,-2.10,-1.05,9.40,SITTING
1503,-1.93,-0.92,9.37,SITTING
1516,-1.81,-0.76,9.35,SITTING
1529,-1.74,-0.61,9.45,SITTING
1544,-1.70,-0.53,9.61,SITTING
1557,-1.65,-0.44,9.64,SITTING
1570,-1.49,-0.32,9.60,SITTING
1583,-1.32,-0.24,9.64,SITTING
1596,-1.16,-0.18,9.63,SITTING
1609,-1.01,-0.18,9.69,SITTING
1622,-0.93,-0.12,9.88,SITTING
1635,-0.92,-0.10,9.98,SITTING
1648,-0.91,-0.14,10.02,SITTING
1661,-0.90,-0.19,10.09,SITTING
1674,-0.89,-0.20,10.26,SITTING
1687,-0.99,-0.21,10.43,SITTING
1700,-1.15,-0.14,10.61,SITTING
1713,-1.37,-0.08,10.71,SITTING
1726,-1.58,-0.09,10.80,SITTING
1739,-1.72,-0.25,10.91,SITTING
1754,-1.84,-0.51,11.07,SITTING
1767,-1.90,-0.75,11.20,SITTING
1780,-1.94,-0.82,11.29,SITTING
1793,-1.91,-0.78,11.28,SITTING
1806,-1.83,-0.71,11.25,SITTING
1819,-1.84,-0.67,11.19,SITTING
1832,-1.89,-0.81,11.21,SITTING
1845,-1.87,-0.77,11.35,SITTING
1858,-1.79,-0.64,11.28,SITTING
1871,-1.59,-0.50,11.09,SITTING
1884,-1.35,-0.45,10.82,SITTING
1897,-1.17,-0.51,10.60,SITTING
1910,-1.01,-0.51,10.39,SITTING
1923,-0.79,-0.47,10.20,SITTING
1936,-0.67,-0.44,10.13,SITTING
1949,-0.63,-0.42,10.08,SITTING
1964,-0.58,-0.29,9.98,SITTING
1977,-0.54,-0.26,10.02,SITTING
1990,-0.54,-0.29,10.10,SITTING
2003,-0.53,-0.33,10.24,SITTING
2016,-0.51,-0.33,10.41,SITTING
2029,-0.46,-0.33,10.49,SITTING
2042,-0.43,-0.39,10.47,SITTING
2055,-0.50,-0.57,10.50,SITTING
2068,-0.57,-0.69,10.49,SITTING
2081,-0.60,-0.68,10.46,SITTING
2094,-0.58,-0.59,10.34,SITTING
2107,-0.60,-0.49,10.23,SITTING
2120,-0.62,-0.46,10.20,SITTING
2133,-0.65,-0.48,10.24,SITTING
2146,-0.69,-0.53,10.32,SITTING
2159,-0.82,-0.59,10.38,SITTING
2174,-0.93,-0.60,10.36,SITTING
2187,-0.93,-0.51,10.18,SITTING
2200,-0.83,-0.43,9.83,SITTING
2213,-0.75,-0.39,9.44,SITTING
2226,-0.57,-0.34,9.17,SITTING
2239,-0.42,-0.27,8.97,SITTING
2252,-0.31,-0.21,8.83,SITTING
2265,-0.23,-0.15,8.71,SITTING
2278,-0.14,-0.04,8.67,SITTING
2291,-0.09,0.11,8.61,SITTING
2304,-0.11,0.21,8.62,SITTING
2317,-0.10,0.26,8.64,SITTING
2330,-0.08,0.24,8.63,SITTING
2343,-0.06,0.14,8.66,SITTING
2356,-0.07,0.01,8.84,SITTING
2369,-0.14,-0.11,9.06,SITTING
2382,-0.28,-0.16,9.44,SITTING
2397,-0.38,-0.05,9.73,SITTING
2410,-0.47,-0.01,9.79,SITTING
2423,-0.57,-0.13,9.81,SITTING
2436,-0.64,-0.31,9.73,SITTING
2449,-0.75,-0.49,9.76,SITTING
2462,-0.86,-0.58,9.87,SITTING
2475,-0.94,-0.58,10.05,SITTING
2488,-1.08,-0.53,10.23,SITTING
2501,-1.14,-0.43,10.36,SITTING
2514,-1.21,-0.35,10.34,SITTING
2527,-1.33,-0.34,10.25,SITTING
2540,-1.42,-0.30,10.09,SITTING
2553,-1.44,-0.26,10.03,SITTING
2566,-1.43,-0.20,10.07,SITTING
2579,-1.43,-0.13,10.16,SITTING
2592,-1.39,-0.05,10.20,SITTING
2606,-1.35,-0.01,10.13,SITTING
2619,-1.33,0.02,10.03,SITTING
2632,-1.32,-0.01,9.92,SITTING
2645,-1.34,0.04,9.76,SITTING
2658,-1.35,0.13,9.69,SITTING
2671,-1.28,0.22,9.61,SITTING
2684,-1.27,0.24,9.71,SITTING
2697,-1.31,0.22,9.73,SITTING
2710,-1.30,0.27,9.72,SITTING
2723,-1.23,0.33,9.69,SITTING
2736,-1.11,0.37,9.72,SITTING
2749,-1.03,0.43,9.53,SITTING
2762,-1.02,0.41,9.44,SITTING
2775,-1.03,0.32,9.51,SITTING
2788,-1.05,0.26,9.67,SITTING
2801,-1.04,0.23,9.73,SITTING
2814,-1.01,0.15,9.75,SITTING
2830,-0.95,0.09,9.66,SITTING
2843,-0.89,0.05,9.48,SITTING
2856,-0.78,0.02,9.26,SITTING
2869,-0.73,-0.04,9.11,SITTING
2882,-0.70,-0.19,9.14,SITTING
2895,-0.75,-0.29,9.21,SITTING
2908,-0.80,-0.27,9.12,SITTING
2921,-0.87,-0.25,9.01,SITTING
2934,-0.84,-0.37,8.88,SITTING
2947,-0.77,-0.60,8.85,SITTING
2960,-0.72,-0.81,9.23,SITTING
2973,-0.77,-0.91,9.71,SITTING
2986,-0.82,-0.83,10.03,SITTING
2999,-0.82,-0.71,10.05,SITTING
3012,-0.86,-0.70,10.07,SITTING
3025,-0.83,-0.77,10.08,SITTING
3040,-0.81,-0.94,10.26,SITTING
3053,-0.81,-1.05,10.51,SITTING
3066,-0.86,-1.04,10.62,SITTING
3079,-0.90,-0.99,10.74,SITTING
3092,-0.96,-0.88,10.83,SITTING
3105,-0.96,-0.75,10.85,SITTING
3118,-0.95,-0.66,10.83,SITTING
3131,-0.96,-0.64,10.78,SITTING
