TIME,X,Y,Z,ACTION
103,0.52,-0.86,8.23,SITTING
166,0.46,-1.51,9.37,SITTING
179,0.47,-1.48,9.44,SITTING
192,0.46,-1.28,9.30,SITTING
208,0.28,-1.23,9.50,SITTING
221,0.10,-1.37,9.96,SITTING
234,-0.18,-1.53,10.39,SITTING
247,-0.52,-1.72,10.81,SITTING
260,-0.96,-1.94,11.25,SITTING
273,-1.46,-2.21,11.69,SITTING
286,-1.89,-2.43,11.92,SITTING
299,-1.95,-2.25,11.88,SITTING
312,-1.83,-2.01,11.87,SITTING
325,-1.62,-1.97,11.70,SITTING
338,-1.28,-2.09,11.42,SITTING
351,-1.00,-2.19,11.00,SITTING
364,-0.78,-2.18,10.52,SITTING
377,-0.69,-2.12,9.95,SITTING
390,-0.67,-2.00,9.46,SITTING
403,-0.78,-1.85,9.01,SITTING
416,-0.89,-1.66,8.64,SITTING
431,-1.15,-1.48,8.43,SITTING
444,-1.44,-1.31,8.37,SITTING
457,-1.69,-1.08,8.38,SITTING
470,-1.91,-0.82,8.36,SITTING
483,-2.04,-0.56,8.24,SITTING
496,-2.06,-0.33,8.12,SITTING
509,-2.06,-0.18,8.02,SITTING
522,-2.12,-0.10,8.01,SITTING
535,-2.18,-0.01,8.07,SITTING
548,-2.22,0.12,8.28,SITTING
561,-2.16,0.31,8.45,SITTING
574,-2.14,0.39,8.67,SITTING
587,-2.20,0.38,8.85,SITTING
600,-2.15,0.26,9.06,SITTING
613,-2.23,0.11,9.18,SITTING
626,-2.17,-0.00,9.27,SITTING
639,-2.12,-0.14,9.27,SITTING
653,-2.10,-0.26,9.31,SITTING
666,-2.14,-0.25,9.28,SITTING
679,-2.17,-0.08,9.28,SITTING
692,-2.19,-0.03,9.49,SITTING
705,-2.29,-0.37,10.17,SITTING
718,-2.67,-0.98,11.24,SITTING
731,-2.99,-1.45,11.86,SITTING
744,-3.02,-1.58,12.09,SITTING
757,-2.93,-1.48,12.23,SITTING
770,-2.98,-1.38,12.01,SITTING
783,-2.89,-1.49,11.55,SITTING
796,-2.54,-1.58,10.99,SITTING
809,-2.18,-1.65,10.36,SITTING
822,-1.98,-1.67,9.71,SITTING
835,-1.78,-1.64,9.19,SITTING
848,-1.67,-1.51,8.72,SITTING
861,-1.60,-1.36,8.37,SITTING
875,-1.61,-1.23,8.17,SITTING
888,-1.73,-1.21,8.23,SITTING
901,-1.96,-1.27,8.46,SITTING
914,-2.25,-1.36,8.67,SITTING
927,-2.53,-1.44,8.92,SITTING
940,-2.77,-1.54,9.22,SITTING
953,-3.06,-1.67,9.55,SITTING
966,-3.20,-1.75,9.71,SITTING
979,-3.11,-1.72,9.69,SITTING
992,-2.79,-1.59,9.50,SITTING
1005,-2.41,-1.50,9.23,SITTING
1018,-1.97,-1.41,9.02,SITTING
1031,-1.58,-1.29,8.85,SITTING
1044,-1.30,-1.18,8.71,SITTING
1057,-1.08,-1.00,8.62,SITTING
1070,-0.85,-0.80,8.56,SITTING
1083,-0.70,-0.66,8.56,SITTING
1098,-0.66,-0.60,8.56,SITTING
1111,-0.65,-0.58,8.62,SITTING
1124,-0.61,-0.54,8.71,SITTING
1137,-0.61,-0.54,8.87,SITTING
1150,-0.65,-0.58,9.07,SITTING
1163,-0.76,-0.63,9.23,SITTING
1176,-0.83,-0.74,9.40,SITTING
1189,-0.84,-0.88,9.56,SITTING
1202,-0.86,-1.06,9.71,SITTING
1215,-0.90,-1.33,9.88,SITTING
1228,-0.96,-1.47,9.99,SITTING
1241,-1.04,-1.48,10.02,SITTING
1254,-1.16,-1.48,9.99,SITTING
1267,-1.18,-1.43,9.99,SITTING
1280,-1.19,-1.20,10.00,SITTING
1293,-1.06,-0.99,10.22,SITTING
1308,-0.97,-1.13,10.81,SITTING
1321,-0.98,-1.41,11.37,SITTING
1334,-1.07,-1.67,11.80,SITTING
1347,-1.22,-1.91,11.90,SITTING
1360,-1.31,-2.15,11.64,SITTING
1373,-1.33,-2.25,11.00,SITTING
1386,-1.21,-2.17,10.36,SITTING
1399,-1.15,-1.98,9.87,SITTING
1412,-1.17,-1.60,9.39,SITTING
1425,-1.06,-1.22,8.90,SITTING
1438,-0.92,-0.95,8.64,SITTING
1451,-0.94,-0.74,8.56,SITTING
1464,-1.09,-0.60,8.71,SITTING
1477,-1.33,-0.63,9.05,SITTING
1490,-1.72,-0.85,9.49,SITTING
1503,-2.30,-1.09,9.90,SITTING
1516,-2.82,-1.15,10.17,SITTING
1531,-3.22,-1.09,10.21,SITTING
1544,-3.44,-0.96,10.06,SITTING
1557,-3.69,-0.86,9.79,SITTING
1570,-3.81,-0.75,9.46,SITTING
1583,-3.80,-0.62,9.05,SITTING
1596,-3.70,-0.47,8.60,SITTING
1609,-3.61,-0.41,8.26,SITTING
1622,-3.65,-0.37,7.96,SITTING
1635,-3.72,-0.20,7.75,SITTING
1648,-3.73,0.07,7.71,SITTING
1661,-3.70,0.38,7.75,SITTING
1674,-3.74,0.68,7.79,SITTING
1687,-3.87,0.84,7.96,SITTING
1700,-3.94,0.88,8.21,SITTING
1713,-3.93,0.90,8.45,SITTING
1726,-3.87,0.94,8.57,SITTING
1741,-3.69,0.94,8.52,SITTING
1754,-3.56,0.89,8.44,SITTING
1767,-3.41,0.82,8.43,SITTING
1780,-3.19,0.71,8.45,SITTING
1793,-2.90,0.61,8.53,SITTING
1806,-2.61,0.53,8.60,SITTING
1819,-2.32,0.42,8.69,SITTING
1832,-2.04,0.34,8.82,SITTING
1845,-1.89,0.22,8.93,SITTING
1858,-1.78,0.09,9.13,SITTING
1871,-1.68,0.03,9.38,SITTING
