TIME,X,Y,Z,ACTION
103,0.49,0.27,10.51,WALKING
166,0.28,-1.08,10.68,WALKING
179,0.27,-1.12,10.62,WALKING
192,0.28,-0.97,10.55,WALKING
212,0.14,-0.80,10.34,WALKING
225,0.20,-0.64,10.14,WALKING
238,0.26,-0.46,9.97,WALKING
251,0.31,-0.34,9.71,WALKING
264,0.38,-0.24,9.44,WALKING
277,0.47,-0.13,9.17,WALKING
290,0.49,-0.07,8.97,WALKING
303,0.41,0.01,8.84,WALKING
316,0.29,0.03,8.77,WALKING
329,0.14,0.05,8.75,WALKING
342,0.06,0.14,8.87,WALKING
355,-0.09,0.17,8.98,WALKING
368,-0.23,0.21,9.21,WALKING
381,-0.33,0.22,9.39,WALKING
394,-0.28,0.29,9.49,WALKING
407,-0.15,0.36,9.54,WALKING
420,-0.02,0.42,9.52,WALKING
433,0.03,0.43,9.45,WALKING
448,0.07,0.36,9.35,WALKING
461,0.11,0.29,9.29,WALKING
474,0.12,0.31,9.25,WALKING
487,0.20,0.34,9.21,WALKING
500,0.28,0.35,9.14,WALKING
513,0.39,0.36,9.09,WALKING
526,0.49,0.40,9.04,WALKING
539,0.61,0.48,8.99,WALKING
552,0.78,0.52,8.94,WALKING
565,0.91,0.56,8.95,WALKING
578,1.04,0.56,8.94,WALKING
591,1.18,0.53,8.96,WALKING
604,1.30,0.52,9.00,WALKING
617,1.30,0.40,9.11,WALKING
630,1.28,0.31,9.26,WALKING
643,1.25,0.16,9.42,WALKING
656,1.22,0.06,9.52,WALKING
669,1.21,-0.01,9.59,WALKING
684,1.18,-0.08,9.75,WALKING
697,1.15,-0.16,9.88,WALKING
710,1.18,-0.20,9.99,WALKING
723,1.17,-0.21,10.05,WALKING
736,1.14,-0.20,10.09,WALKING
749,1.07,-0.16,10.15,WALKING
762,0.99,-0.14,10.24,WALKING
775,0.91,-0.08,10.35,WALKING
788,0.82,-0.00,10.44,WALKING
801,0.71,0.06,10.49,WALKING
814,0.62,0.08,10.48,WALKING
827,0.51,0.11,10.52,WALKING
840,0.43,0.14,10.52,WALKING
853,0.39,0.14,10.47,WALKING
866,0.33,0.15,10.36,WALKING
879,0.22,0.07,10.24,WALKING
892,0.14,0.02,10.08,WALKING
905,0.04,-0.08,9.97,WALKING
920,-0.01,-0.14,9.88,WALKING
933,0.02,0.04,9.93,WALKING
946,-0.03,0.24,10.04,WALKING
959,-0.06,0.35,10.20,WALKING
972,-0.05,0.47,10.47,WALKING
985,0.06,0.50,10.74,WALKING
998,0.09,0.33,10.97,WALKING
1011,-0.14,0.01,11.07,WALKING
1024,-0.57,-0.41,11.03,WALKING
1037,-0.93,-0.89,10.84,WALKING
1050,-1.27,-1.30,10.59,WALKING
1063,-1.58,-1.65,10.27,WALKING
