X,Y,Z,FALL,ACTION
-0.00,-0.00,1.00,False,BENDING_DOWN
0.18,0.22,1.03,False,BENDING_DOWN
0.05,0.22,1.37,False,BENDING_DOWN
0.07,0.24,1.36,False,BENDING_DOWN
0.02,0.04,1.19,False,BENDING_DOWN
0.13,-0.05,0.72,False,BENDING_DOWN
0.03,-0.28,0.61,False,BENDING_DOWN
0.03,-0.11,0.39,False,BENDING_DOWN
0.04,-0.06,0.39,False,BENDING_DOWN
0.01,-0.05,0.65,False,BENDING_DOWN
0.01,-0.15,0.72,False,BENDING_DOWN
-0.02,-0.10,0.79,False,BENDING_DOWN
-0.06,0.02,0.97,False,BENDING_DOWN
0.03,0.12,0.81,False,BENDING_DOWN
0.01,0.24,0.90,False,BENDING_DOWN
0.56,-0.28,1.04,False,BENDING_DOWN
-0.01,0.30,1.16,False,BENDING_DOWN
0.20,0.27,0.83,False,BENDING_DOWN
0.14,0.38,0.95,False,BENDING_DOWN
0.58,-0.01,1.02,False,BENDING_DOWN
0.41,0.28,1.28,False,BENDING_DOWN
0.46,0.16,1.17,False,BENDING_DOWN
0.43,0.43,1.05,False,BENDING_DOWN
0.73,-0.03,1.11,False,BENDING_DOWN
0.43,0.49,1.20,False,BENDING_DOWN
0.60,0.44,1.03,False,BENDING_DOWN
0.38,0.54,1.27,False,BENDING_DOWN
0.73,0.25,0.99,False,BENDING_DOWN
0.44,0.51,0.96,False,BENDING_DOWN
0.56,0.34,0.93,False,BENDING_DOWN
0.68,0.46,0.69,False,BENDING_DOWN
0.52,0.58,0.62,False,BENDING_DOWN
0.62,0.54,0.73,False,BENDING_DOWN
0.65,0.54,0.59,False,BENDING_DOWN
0.66,0.50,0.73,False,BENDING_DOWN
0.76,0.49,0.52,False,BENDING_DOWN
0.86,0.48,0.54,False,BENDING_DOWN
0.74,0.66,0.45,False,BENDING_DOWN
0.73,0.64,0.49,False,BENDING_DOWN
0.91,0.40,0.45,False,BENDING_DOWN
0.95,0.44,0.40,False,BENDING_DOWN
0.62,0.94,0.84,False,BENDING_DOWN
0.86,0.49,0.56,False,BENDING_DOWN
1.14,0.24,0.71,False,BENDING_DOWN
0.98,-0.05,1.05,False,BENDING_DOWN
1.25,0.63,0.70,False,BENDING_DOWN
0.97,0.04,0.72,False,BENDING_DOWN
1.09,0.03,0.57,False,BENDING_DOWN
1.03,-0.26,0.16,False,BENDING_DOWN
0.92,-0.57,0.61,False,BENDING_DOWN
0.78,-0.32,0.39,False,BENDING_DOWN
0.85,-0.63,0.49,False,BENDING_DOWN
0.73,-0.38,0.37,False,BENDING_DOWN
0.83,-0.38,0.07,False,BENDING_DOWN
0.69,-0.46,0.41,False,BENDING_DOWN
0.72,-0.35,0.38,False,BENDING_DOWN
