X,Y,Z,FALL,ACTION
-0.02,0.02,1.00,True,FALLING_FORWARD
0.24,0.16,1.26,True,FALLING_FORWARD
-0.54,0.09,1.66,True,FALLING_FORWARD
0.21,0.38,1.26,True,FALLING_FORWARD
0.59,0.26,0.99,True,FALLING_FORWARD
0.35,0.31,1.30,True,FALLING_FORWARD
0.57,0.37,0.61,True,FALLING_FORWARD
0.66,0.62,0.77,True,FALLING_FORWARD
0.72,0.52,0.76,True,FALLING_FORWARD
0.68,0.40,0.44,True,FALLING_FORWARD
0.82,0.19,0.13,True,FALLING_FORWARD
0.88,0.28,0.09,True,FALLING_FORWARD
0.72,0.03,0.08,True,FALLING_FORWARD
0.81,0.20,0.10,True,FALLING_FORWARD
0.89,0.36,0.12,True,FALLING_FORWARD
0.83,0.24,0.22,True,FALLING_FORWARD
0.88,0.31,0.22,True,FALLING_FORWARD
0.77,0.29,0.27,True,FALLING_FORWARD
0.78,0.16,0.22,True,FALLING_FORWARD
0.82,0.55,0.24,True,FALLING_FORWARD
0.60,0.31,0.22,True,FALLING_FORWARD
0.48,0.25,0.09,True,FALLING_FORWARD
0.46,0.39,0.03,True,FALLING_FORWARD
0.50,0.17,-0.15,True,FALLING_FORWARD
0.24,0.17,-0.23,True,FALLING_FORWARD
0.06,0.13,-0.54,True,FALLING_FORWARD
0.26,0.49,-1.13,True,FALLING_FORWARD
0.46,0.82,-1.03,True,FALLING_FORWARD
0.51,0.47,-1.13,True,FALLING_FORWARD
-0.04,1.39,-1.27,True,FALLING_FORWARD
0.67,0.62,-1.32,True,FALLING_FORWARD
0.87,0.76,-1.33,True,FALLING_FORWARD
0.83,1.43,-1.20,True,FALLING_FORWARD
0.79,0.79,-1.02,True,FALLING_FORWARD
0.25,1.29,-0.73,True,FALLING_FORWARD
0.68,0.22,-0.96,True,FALLING_FORWARD
0.44,0.55,-0.61,True,FALLING_FORWARD
0.33,0.75,0.09,True,FALLING_FORWARD
0.73,0.35,-0.28,True,FALLING_FORWARD
1.59,1.33,-0.10,True,FALLING_FORWARD
-0.08,0.76,-0.13,True,FALLING_FORWARD
0.13,0.77,-0.21,True,FALLING_FORWARD
0.32,0.68,-0.34,True,FALLING_FORWARD
0.37,0.88,-0.21,True,FALLING_FORWARD
0.36,0.79,-0.20,True,FALLING_FORWARD
0.64,0.89,-0.36,True,FALLING_FORWARD
0.54,1.06,0.01,True,FALLING_FORWARD
0.44,0.83,0.01,True,FALLING_FORWARD
0.53,0.92,0.13,True,FALLING_FORWARD
0.57,0.92,0.09,True,FALLING_FORWARD
0.60,0.90,0.15,True,FALLING_FORWARD
0.55,0.97,-0.04,True,FALLING_FORWARD
