X,Y,Z,FALL,ACTION
-0.00,0.00,1.00,False,HAND_WAVING
0.01,-0.22,1.01,False,HAND_WAVING
-0.00,0.12,1.01,False,HAND_WAVING
-0.07,0.18,1.08,False,HAND_WAVING
0.26,-0.11,0.98,False,HAND_WAVING
0.59,0.09,0.85,False,HAND_WAVING
0.40,-0.08,0.87,False,HAND_WAVING
0.40,0.08,0.99,False,HAND_WAVING
1.08,0.16,1.21,False,HAND_WAVING
1.05,0.85,1.58,False,HAND_WAVING
0.96,0.68,1.01,False,HAND_WAVING
1.21,0.21,0.12,False,HAND_WAVING
1.01,0.30,-0.14,False,HAND_WAVING
1.18,0.10,-0.16,False,HAND_WAVING
0.82,-0.05,-0.37,False,HAND_WAVING
0.87,-0.23,-0.60,False,HAND_WAVING
1.15,-0.14,-0.88,False,HAND_WAVING
0.92,-0.10,-0.54,False,HAND_WAVING
1.41,-0.11,-0.68,False,HAND_WAVING
0.22,-0.02,-0.45,False,HAND_WAVING
0.54,0.32,-0.54,False,HAND_WAVING
0.57,0.12,-0.15,False,HAND_WAVING
0.33,0.11,0.02,False,HAND_WAVING
0.17,-0.14,0.27,False,HAND_WAVING
0.26,-0.42,0.43,False,HAND_WAVING
0.45,-0.21,0.59,False,HAND_WAVING
1.18,0.04,0.67,False,HAND_WAVING
1.82,0.35,0.50,False,HAND_WAVING
1.82,0.00,0.63,False,HAND_WAVING
2.07,0.38,0.45,False,HAND_WAVING
2.07,0.46,0.21,False,HAND_WAVING
1.95,0.11,0.26,False,HAND_WAVING
1.76,0.03,0.19,False,HAND_WAVING
1.54,-0.01,0.12,False,HAND_WAVING
1.20,0.25,-0.03,False,HAND_WAVING
1.16,0.17,0.07,False,HAND_WAVING
1.10,-0.00,0.18,False,HAND_WAVING
1.06,0.03,0.24,False,HAND_WAVING
1.05,-0.01,0.41,False,HAND_WAVING
1.40,-0.06,0.55,False,HAND_WAVING
1.74,-0.07,0.68,False,HAND_WAVING
2.04,0.02,0.86,False,HAND_WAVING
1.90,0.19,1.09,False,HAND_WAVING
1.78,0.25,1.09,False,HAND_WAVING
1.71,0.30,0.98,False,HAND_WAVING
1.36,0.01,0.95,False,HAND_WAVING
1.18,0.10,0.69,False,HAND_WAVING
0.95,0.06,0.60,False,HAND_WAVING
0.66,0.03,0.41,False,HAND_WAVING
0.19,-0.13,0.45,False,HAND_WAVING
-0.05,-0.19,0.41,False,HAND_WAVING
-0.06,0.07,0.23,False,HAND_WAVING
-0.09,-0.20,0.36,False,HAND_WAVING
0.00,-0.29,0.58,False,HAND_WAVING
0.34,-0.07,0.79,False,HAND_WAVING
0.88,0.01,1.03,False,HAND_WAVING
