X,Y,Z,FALL,ACTION
0.00,-0.00,1.00,False,SITTING
0.01,-0.04,1.00,False,SITTING
-0.01,0.17,1.26,False,SITTING
0.18,0.22,1.92,False,SITTING
0.45,0.54,1.01,False,SITTING
0.70,0.68,0.88,False,SITTING
0.64,0.51,0.93,False,SITTING
0.65,0.59,0.08,False,SITTING
0.76,0.56,0.55,False,SITTING
0.72,0.45,-0.19,False,SITTING
0.83,0.33,-0.18,False,SITTING
0.75,0.23,-0.40,False,SITTING
0.71,0.31,-0.32,False,SITTING
0.76,0.38,-0.61,False,SITTING
0.89,0.39,-0.33,False,SITTING
0.67,0.40,-0.42,False,SITTING
0.77,0.09,-0.04,False,SITTING
0.78,0.33,-0.27,False,SITTING
0.72,0.42,-0.24,False,SITTING
0.67,0.67,-0.29,False,SITTING
0.83,0.60,-0.18,False,SITTING
0.75,0.68,-0.12,False,SITTING
0.72,0.59,0.02,False,SITTING
0.68,0.63,-0.05,False,SITTING
0.59,0.89,0.10,False,SITTING
0.65,0.96,0.06,False,SITTING
0.51,0.86,0.18,False,SITTING
0.52,0.89,0.15,False,SITTING
0.30,1.00,0.28,False,SITTING
0.34,0.90,0.19,False,SITTING
0.20,0.98,0.51,False,SITTING
0.28,0.99,0.47,False,SITTING
0.25,0.88,0.43,False,SITTING
0.07,0.90,0.74,False,SITTING
0.14,1.03,0.56,False,SITTING
0.03,1.18,0.66,False,SITTING
0.35,1.25,0.55,False,SITTING
0.23,0.83,0.61,False,SITTING
0.14,1.08,0.53,False,SITTING
0.11,0.85,0.51,False,SITTING
0.15,1.21,0.48,False,SITTING
-0.09,0.96,0.43,False,SITTING
-0.16,0.91,0.43,False,SITTING
-0.20,0.63,0.39,False,SITTING
-0.32,1.00,0.56,False,SITTING
-0.30,0.35,0.47,False,SITTING
-0.37,0.50,0.58,False,SITTING
-0.43,0.41,0.58,False,SITTING
-0.40,0.55,0.57,False,SITTING
-0.21,0.38,0.32,False,SITTING
-0.17,0.71,0.54,False,SITTING
-0.21,0.67,0.55,False,SITTING
-0.15,0.42,0.46,False,SITTING
-0.14,0.85,0.74,False,SITTING
0.17,0.63,0.64,False,SITTING
0.37,0.52,0.62,False,SITTING
0.82,0.67,0.74,False,SITTING
0.62,0.35,0.61,False,SITTING
0.96,0.36,0.71,False,SITTING
0.70,0.23,0.50,False,SITTING
0.87,0.28,0.58,False,SITTING
0.91,0.26,0.45,False,SITTING
1.09,0.30,0.38,False,SITTING
1.10,0.36,0.44,False,SITTING
1.31,0.37,0.36,False,SITTING
1.16,0.40,0.45,False,SITTING
1.19,0.43,0.50,False,SITTING
1.05,0.46,0.41,False,SITTING
0.82,0.50,0.50,False,SITTING
0.93,0.61,0.41,False,SITTING
0.87,0.55,0.38,False,SITTING
0.80,0.59,0.46,False,SITTING
0.70,0.57,0.35,False,SITTING
0.74,0.54,0.37,False,SITTING
0.78,0.56,0.44,False,SITTING
