X,Y,Z,FALL,ACTION
0.00,-0.00,1.00,False,WALKING
0.00,-0.02,1.05,False,WALKING
-0.09,-0.08,1.64,False,WALKING
0.25,0.33,1.18,False,WALKING
0.45,0.23,1.02,False,WALKING
0.44,0.15,0.78,False,WALKING
-0.15,0.50,0.85,False,WALKING
0.28,-0.02,1.12,False,WALKING
0.03,0.08,1.31,False,WALKING
-0.00,0.29,1.18,False,WALKING
0.10,0.26,1.29,False,WALKING
0.03,0.36,1.03,False,WALKING
-0.07,0.63,0.99,False,WALKING
-0.05,0.76,0.83,False,WALKING
0.06,0.82,0.49,False,WALKING
0.18,0.88,0.22,False,WALKING
0.11,0.96,0.02,False,WALKING
-0.09,0.95,-0.08,False,WALKING
-0.27,0.93,-0.17,False,WALKING
-0.04,1.00,-0.20,False,WALKING
-0.30,0.85,-0.29,False,WALKING
-0.34,0.94,-0.30,False,WALKING
-0.34,0.77,-0.26,False,WALKING
-0.27,0.76,-0.28,False,WALKING
-0.46,0.70,-0.29,False,WALKING
-0.49,0.84,-0.34,False,WALKING
-0.42,0.71,-0.32,False,WALKING
-0.41,0.66,-0.39,False,WALKING
-0.50,0.56,-0.42,False,WALKING
-0.59,0.63,-0.43,False,WALKING
-0.62,0.74,-0.45,False,WALKING
-0.72,0.74,-0.43,False,WALKING
-0.67,0.82,-0.36,False,WALKING
-0.65,0.69,-0.35,False,WALKING
-0.56,0.98,-0.35,False,WALKING
-0.48,0.78,-0.25,False,WALKING
-0.81,0.72,-0.29,False,WALKING
-0.43,0.75,-0.19,False,WALKING
-0.51,0.90,-0.27,False,WALKING
-0.54,0.92,-0.32,False,WALKING
-0.46,0.70,-0.33,False,WALKING
-0.43,0.57,-0.27,False,WALKING
-0.40,0.57,-0.29,False,WALKING
-0.54,0.70,-0.29,False,WALKING
-0.59,0.75,-0.26,False,WALKING
-0.63,0.79,-0.27,False,WALKING
-0.63,0.84,-0.31,False,WALKING
-0.69,0.93,-0.33,False,WALKING
-0.57,0.94,-0.29,False,WALKING
-0.62,0.95,-0.34,False,WALKING
-0.48,0.81,-0.22,False,WALKING
-0.39,0.74,-0.14,False,WALKING
-0.36,0.72,-0.10,False,WALKING
-0.38,0.76,-0.03,False,WALKING
-0.44,0.89,-0.04,False,WALKING
-0.30,0.59,-0.01,False,WALKING
-0.46,0.79,-0.05,False,WALKING
-0.53,0.61,-0.29,False,WALKING
-0.58,0.78,-0.28,False,WALKING
-0.65,0.73,-0.38,False,WALKING
-0.73,0.71,-0.45,False,WALKING
-0.75,0.72,-0.37,False,WALKING
-0.62,0.79,-0.30,False,WALKING
-0.54,0.77,-0.37,False,WALKING
-0.43,0.83,-0.35,False,WALKING
-0.58,0.86,-0.32,False,WALKING
-0.51,0.81,-0.24,False,WALKING
-0.35,0.80,-0.22,False,WALKING
-0.41,0.94,-0.21,False,WALKING
-0.31,0.97,-0.21,False,WALKING
-0.30,0.90,-0.21,False,WALKING
-0.31,0.80,-0.21,False,WALKING
-0.24,0.82,-0.16,False,WALKING
-0.38,0.84,-0.15,False,WALKING
-0.51,0.96,-0.15,False,WALKING
-0.62,0.86,-0.13,False,WALKING
-0.37,0.99,-0.21,False,WALKING
-0.31,1.05,-0.01,False,WALKING
-0.11,0.97,-0.09,False,WALKING
-0.24,0.96,-0.06,False,WALKING
-0.24,1.02,0.05,False,WALKING
-0.10,0.86,-0.01,False,WALKING
-0.06,0.88,-0.10,False,WALKING
-0.26,1.02,-0.09,False,WALKING
-0.30,1.02,-0.04,False,WALKING
-0.19,0.92,-0.01,False,WALKING
-0.17,0.92,-0.03,False,WALKING
-0.15,0.99,-0.00,False,WALKING
-0.25,1.00,-0.02,False,WALKING
-0.20,0.97,0.00,False,WALKING
-0.15,0.93,0.02,False,WALKING
-0.12,0.99,0.01,False,WALKING
-0.37,0.96,-0.16,False,WALKING
-0.34,0.88,-0.21,False,WALKING
-0.25,0.96,-0.13,False,WALKING
