X,Y,Z,FALL,ACTION
0.00,0.00,1.00,False,BENDING_DOWN
-0.04,0.08,1.39,False,BENDING_DOWN
0.28,0.05,1.04,False,BENDING_DOWN
0.04,-0.27,1.25,False,BENDING_DOWN
0.02,-0.20,1.19,False,BENDING_DOWN
0.13,-0.40,1.01,False,BENDING_DOWN
0.13,-0.25,0.64,False,BENDING_DOWN
0.05,-0.19,0.70,False,BENDING_DOWN
0.07,-0.25,0.48,False,BENDING_DOWN
-0.05,-0.13,0.46,False,BENDING_DOWN
0.04,-0.17,0.54,False,BENDING_DOWN
-0.02,-0.22,0.81,False,BENDING_DOWN
0.01,-0.10,0.69,False,BENDING_DOWN
0.16,-0.32,0.96,False,BENDING_DOWN
0.02,-0.20,0.75,False,BENDING_DOWN
0.04,-0.02,0.70,False,BENDING_DOWN
0.22,-0.28,1.04,False,BENDING_DOWN
0.13,-0.22,1.21,False,BENDING_DOWN
0.14,-0.26,1.13,False,BENDING_DOWN
0.22,-0.23,1.04,False,BENDING_DOWN
0.17,-0.18,0.89,False,BENDING_DOWN
0.09,-0.08,1.01,False,BENDING_DOWN
0.21,-0.09,0.95,False,BENDING_DOWN
0.29,-0.10,1.03,False,BENDING_DOWN
0.33,-0.07,1.06,False,BENDING_DOWN
0.40,-0.15,1.13,False,BENDING_DOWN
0.46,0.10,1.12,False,BENDING_DOWN
0.50,-0.06,1.21,False,BENDING_DOWN
0.38,0.20,1.07,False,BENDING_DOWN
0.60,-0.12,1.25,False,BENDING_DOWN
0.41,0.04,1.02,False,BENDING_DOWN
0.65,-0.15,1.07,False,BENDING_DOWN
0.59,-0.03,1.02,False,BENDING_DOWN
0.54,-0.13,1.03,False,BENDING_DOWN
0.52,-0.00,0.97,False,BENDING_DOWN
0.57,-0.08,1.00,False,BENDING_DOWN
0.69,-0.20,0.87,False,BENDING_DOWN
0.43,-0.08,1.04,False,BENDING_DOWN
0.55,-0.07,0.92,False,BENDING_DOWN
1.01,-0.18,0.67,False,BENDING_DOWN
0.74,-0.18,0.88,False,BENDING_DOWN
0.57,-0.13,0.75,False,BENDING_DOWN
0.47,-0.11,1.08,False,BENDING_DOWN
0.79,-0.21,0.74,False,BENDING_DOWN
0.77,-0.20,0.75,False,BENDING_DOWN
0.74,-0.12,0.72,False,BENDING_DOWN
0.77,-0.19,0.72,False,BENDING_DOWN
0.78,-0.23,0.71,False,BENDING_DOWN
0.81,-0.21,0.68,False,BENDING_DOWN
0.85,-0.18,0.68,False,BENDING_DOWN
0.82,-0.13,0.67,False,BENDING_DOWN
0.99,-0.24,0.62,False,BENDING_DOWN
0.79,-0.21,0.67,False,BENDING_DOWN
0.83,-0.32,0.80,False,BENDING_DOWN
0.80,-0.29,0.77,False,BENDING_DOWN
0.75,-0.22,0.75,False,BENDING_DOWN
0.83,-0.23,0.71,False,BENDING_DOWN
0.81,-0.20,0.64,False,BENDING_DOWN
0.83,-0.24,0.63,False,BENDING_DOWN
0.86,-0.31,0.62,False,BENDING_DOWN
0.87,-0.31,0.56,False,BENDING_DOWN
0.91,-0.35,0.58,False,BENDING_DOWN
0.86,-0.25,0.48,False,BENDING_DOWN
