X,Y,Z,FALL,ACTION
-0.02,-0.04,1.00,True,FALLING_BACKWARDS
-0.18,-0.26,1.07,True,FALLING_BACKWARDS
-0.07,-0.27,1.31,True,FALLING_BACKWARDS
-0.13,-0.21,1.11,True,FALLING_BACKWARDS
-0.21,-0.19,1.00,True,FALLING_BACKWARDS
-0.17,-0.22,0.99,True,FALLING_BACKWARDS
-0.23,-0.15,0.88,True,FALLING_BACKWARDS
-0.04,-0.30,1.05,True,FALLING_BACKWARDS
-0.09,-0.02,0.90,True,FALLING_BACKWARDS
-0.27,0.06,0.80,True,FALLING_BACKWARDS
-0.32,-0.00,0.64,True,FALLING_BACKWARDS
-0.46,0.35,0.72,True,FALLING_BACKWARDS
-0.41,0.31,0.77,True,FALLING_BACKWARDS
-0.35,0.39,0.55,True,FALLING_BACKWARDS
-0.26,0.59,0.60,True,FALLING_BACKWARDS
-0.26,0.59,0.84,True,FALLING_BACKWARDS
-0.33,0.55,0.71,True,FALLING_BACKWARDS
-0.28,0.58,0.84,True,FALLING_BACKWARDS
-0.43,0.51,0.69,True,FALLING_BACKWARDS
-0.49,0.31,0.49,True,FALLING_BACKWARDS
-0.83,0.22,0.83,True,FALLING_BACKWARDS
-1.05,0.21,0.89,True,FALLING_BACKWARDS
-1.18,0.15,0.56,True,FALLING_BACKWARDS
-1.16,0.16,0.70,True,FALLING_BACKWARDS
-0.19,0.54,0.36,True,FALLING_BACKWARDS
-0.63,-0.02,1.09,True,FALLING_BACKWARDS
-0.60,-0.22,1.27,True,FALLING_BACKWARDS
-0.31,0.27,0.64,True,FALLING_BACKWARDS
0.56,-0.38,0.37,True,FALLING_BACKWARDS
-0.08,-0.37,0.59,True,FALLING_BACKWARDS
0.30,-0.39,0.19,True,FALLING_BACKWARDS
-0.16,-0.82,1.64,True,FALLING_BACKWARDS
0.14,-0.90,0.90,True,FALLING_BACKWARDS
0.24,-0.92,1.17,True,FALLING_BACKWARDS
0.09,-0.93,1.20,True,FALLING_BACKWARDS
0.56,-0.98,0.63,True,FALLING_BACKWARDS
0.57,-0.75,0.74,True,FALLING_BACKWARDS
0.62,-0.96,0.69,True,FALLING_BACKWARDS
0.42,-0.62,0.44,True,FALLING_BACKWARDS
0.42,-0.47,0.72,True,FALLING_BACKWARDS
0.43,-0.66,0.83,True,FALLING_BACKWARDS
-0.05,-0.98,1.02,True,FALLING_BACKWARDS
0.14,-0.56,0.70,True,FALLING_BACKWARDS
0.08,-0.42,0.54,True,FALLING_BACKWARDS
0.02,-0.88,0.97,True,FALLING_BACKWARDS
