X,Y,Z,FALL,ACTION
-0.00,0.00,1.00,True,FALLING_FORWARD
0.34,0.04,1.33,True,FALLING_FORWARD
0.33,-0.10,1.54,True,FALLING_FORWARD
0.33,0.03,1.19,True,FALLING_FORWARD
0.31,0.10,1.05,True,FALLING_FORWARD
0.20,-0.05,1.07,True,FALLING_FORWARD
0.46,-0.03,1.02,True,FALLING_FORWARD
0.48,-0.08,1.04,True,FALLING_FORWARD
0.59,-0.01,0.86,True,FALLING_FORWARD
0.78,0.21,0.65,True,FALLING_FORWARD
0.76,0.25,0.63,True,FALLING_FORWARD
0.88,0.28,0.29,True,FALLING_FORWARD
0.85,0.40,0.38,True,FALLING_FORWARD
0.56,0.16,0.28,True,FALLING_FORWARD
0.66,0.18,0.38,True,FALLING_FORWARD
0.63,0.15,0.44,True,FALLING_FORWARD
0.69,0.06,0.43,True,FALLING_FORWARD
0.66,0.23,0.53,True,FALLING_FORWARD
0.55,0.02,0.53,True,FALLING_FORWARD
0.44,0.07,0.55,True,FALLING_FORWARD
0.41,-0.13,0.30,True,FALLING_FORWARD
0.33,0.07,0.20,True,FALLING_FORWARD
0.27,0.27,0.04,True,FALLING_FORWARD
0.71,1.05,-0.45,True,FALLING_FORWARD
0.68,0.69,-0.95,True,FALLING_FORWARD
0.85,0.65,-0.98,True,FALLING_FORWARD
0.54,0.12,-1.01,True,FALLING_FORWARD
0.96,0.53,-0.99,True,FALLING_FORWARD
0.75,0.31,-1.48,True,FALLING_FORWARD
1.03,0.74,-1.36,True,FALLING_FORWARD
2.07,1.61,-1.11,True,FALLING_FORWARD
0.95,0.50,-2.08,True,FALLING_FORWARD
-1.32,1.85,1.56,True,FALLING_FORWARD
0.62,1.00,0.70,True,FALLING_FORWARD
1.25,1.20,-0.27,True,FALLING_FORWARD
0.83,0.04,-1.00,True,FALLING_FORWARD
1.27,0.85,-0.08,True,FALLING_FORWARD
0.75,0.17,-0.09,True,FALLING_FORWARD
-0.02,0.94,-0.47,True,FALLING_FORWARD
0.29,0.83,-0.30,True,FALLING_FORWARD
0.35,1.08,-0.36,True,FALLING_FORWARD
0.39,0.94,-0.75,True,FALLING_FORWARD
0.68,0.85,-0.44,True,FALLING_FORWARD
-0.11,0.70,-0.32,True,FALLING_FORWARD
-0.20,0.34,0.07,True,FALLING_FORWARD
-0.28,0.59,-0.09,True,FALLING_FORWARD
0.01,-0.11,-0.30,True,FALLING_FORWARD
0.31,0.87,-0.45,True,FALLING_FORWARD
-0.15,1.06,-0.75,True,FALLING_FORWARD
0.49,1.13,-0.70,True,FALLING_FORWARD
0.24,0.91,-0.34,True,FALLING_FORWARD
0.48,0.63,-0.58,True,FALLING_FORWARD
0.29,0.80,-0.65,True,FALLING_FORWARD
0.17,0.65,-0.41,True,FALLING_FORWARD
