X,Y,Z,FALL,ACTION
-0.01,-0.01,1.00,False,HAND_WAVING
0.15,-0.32,1.28,False,HAND_WAVING
0.16,-0.48,1.65,False,HAND_WAVING
0.20,-0.49,1.24,False,HAND_WAVING
0.01,-0.27,0.82,False,HAND_WAVING
-0.58,0.49,0.59,False,HAND_WAVING
-0.70,0.39,0.71,False,HAND_WAVING
-0.51,-0.06,0.54,False,HAND_WAVING
-1.01,0.52,0.54,False,HAND_WAVING
-0.51,0.48,0.69,False,HAND_WAVING
-0.67,0.73,0.49,False,HAND_WAVING
-0.34,0.69,0.94,False,HAND_WAVING
-0.31,-0.08,0.86,False,HAND_WAVING
-0.37,-0.03,0.68,False,HAND_WAVING
-0.51,-0.43,0.61,False,HAND_WAVING
-0.42,-0.30,0.33,False,HAND_WAVING
-0.47,-0.44,0.45,False,HAND_WAVING
-0.17,-0.41,0.40,False,HAND_WAVING
-0.04,-0.21,0.23,False,HAND_WAVING
0.15,-0.52,0.39,False,HAND_WAVING
0.86,-0.48,0.08,False,HAND_WAVING
0.68,-0.68,0.19,False,HAND_WAVING
1.17,-0.89,0.17,False,HAND_WAVING
1.24,-0.99,0.15,False,HAND_WAVING
1.18,-1.37,0.02,False,HAND_WAVING
1.18,-1.77,-0.04,False,HAND_WAVING
0.82,-1.82,-0.23,False,HAND_WAVING
0.68,-1.64,-0.29,False,HAND_WAVING
0.13,-0.83,-0.86,False,HAND_WAVING
0.03,-1.33,-0.28,False,HAND_WAVING
-0.21,-1.06,-0.41,False,HAND_WAVING
-0.32,-0.93,-0.31,False,HAND_WAVING
-0.27,-0.74,-0.14,False,HAND_WAVING
-0.37,-0.99,-0.27,False,HAND_WAVING
-0.46,-1.44,-0.47,False,HAND_WAVING
0.02,-1.83,-0.57,False,HAND_WAVING
0.33,-2.00,-0.46,False,HAND_WAVING
0.48,-1.86,-0.70,False,HAND_WAVING
0.51,-1.64,-0.77,False,HAND_WAVING
0.60,-1.30,-0.60,False,HAND_WAVING
0.59,-1.05,-0.44,False,HAND_WAVING
0.62,-0.50,-0.28,False,HAND_WAVING
0.38,-0.43,-0.13,False,HAND_WAVING
0.25,-0.37,-0.14,False,HAND_WAVING
0.31,-0.23,-0.20,False,HAND_WAVING
0.32,-0.34,-0.23,False,HAND_WAVING
0.22,-0.54,-0.40,False,HAND_WAVING
0.04,-0.75,-0.36,False,HAND_WAVING
0.01,-1.08,-0.41,False,HAND_WAVING
0.12,-1.08,-0.41,False,HAND_WAVING
0.15,-1.32,-0.35,False,HAND_WAVING
0.01,-1.31,-0.49,False,HAND_WAVING
-0.15,-1.58,-0.53,False,HAND_WAVING
-0.21,-1.45,-0.58,False,HAND_WAVING
-0.12,-1.49,-0.50,False,HAND_WAVING
-0.19,-1.54,-0.61,False,HAND_WAVING
-0.11,-1.05,-0.77,False,HAND_WAVING
-0.17,-0.64,-0.93,False,HAND_WAVING
-0.48,-0.51,-0.85,False,HAND_WAVING
-0.47,-0.70,-0.79,False,HAND_WAVING
-0.53,-0.90,-0.79,False,HAND_WAVING
-0.29,-1.24,-0.75,False,HAND_WAVING
-0.04,-1.54,-0.58,False,HAND_WAVING
0.10,-1.75,-0.85,False,HAND_WAVING
0.30,-1.94,-0.75,False,HAND_WAVING
0.41,-1.58,-1.02,False,HAND_WAVING
0.45,-1.49,-0.73,False,HAND_WAVING
0.22,-1.35,-0.79,False,HAND_WAVING
0.30,-1.03,-0.58,False,HAND_WAVING
0.42,-0.76,-0.31,False,HAND_WAVING
0.65,-0.26,-0.11,False,HAND_WAVING
0.23,-0.25,-0.30,False,HAND_WAVING
0.06,-0.39,-0.23,False,HAND_WAVING
-0.14,-0.47,-0.30,False,HAND_WAVING
-0.09,-0.42,-0.35,False,HAND_WAVING
-0.18,-0.74,-0.17,False,HAND_WAVING
-0.15,-0.80,-0.27,False,HAND_WAVING
-0.05,-0.98,-0.31,False,HAND_WAVING
-0.13,-1.18,-0.44,False,HAND_WAVING
-0.20,-1.40,-0.62,False,HAND_WAVING
-0.32,-1.64,-0.53,False,HAND_WAVING
-0.64,-1.67,-0.64,False,HAND_WAVING
-0.55,-1.44,-0.65,False,HAND_WAVING
-0.42,-1.26,-0.44,False,HAND_WAVING
-0.43,-1.09,-0.46,False,HAND_WAVING
-0.22,-0.82,-0.56,False,HAND_WAVING
-0.27,-0.63,-0.77,False,HAND_WAVING
-0.34,-0.58,-0.80,False,HAND_WAVING
-0.19,-0.65,-0.72,False,HAND_WAVING
-0.39,-1.17,-0.70,False,HAND_WAVING
0.02,-1.28,-0.62,False,HAND_WAVING
0.15,-1.79,-0.56,False,HAND_WAVING
0.23,-1.64,-0.73,False,HAND_WAVING
0.19,-1.50,-0.91,False,HAND_WAVING
0.16,-1.50,-0.71,False,HAND_WAVING
0.17,-1.18,-0.86,False,HAND_WAVING
0.08,-1.01,-0.77,False,HAND_WAVING
0.26,-0.70,-0.49,False,HAND_WAVING
0.21,-0.47,-0.31,False,HAND_WAVING
0.00,-0.35,-0.38,False,HAND_WAVING
-0.07,-0.37,-0.30,False,HAND_WAVING
-0.05,-0.24,-0.26,False,HAND_WAVING
-0.01,-0.24,-0.27,False,HAND_WAVING
-0.13,-0.43,-0.21,False,HAND_WAVING
-0.10,-0.55,-0.36,False,HAND_WAVING
0.19,-0.58,-0.19,False,HAND_WAVING
0.07,-0.97,-0.22,False,HAND_WAVING
0.09,-1.13,-0.43,False,HAND_WAVING
0.18,-1.43,-0.35,False,HAND_WAVING
-0.06,-1.81,-0.58,False,HAND_WAVING
-0.27,-1.90,-0.84,False,HAND_WAVING
-0.36,-1.83,-0.82,False,HAND_WAVING
-0.24,-1.85,-0.68,False,HAND_WAVING
-0.62,-1.71,-0.66,False,HAND_WAVING
-0.45,-1.17,-0.97,False,HAND_WAVING
-0.44,-0.75,-0.99,False,HAND_WAVING
-0.25,-0.56,-0.85,False,HAND_WAVING
-0.11,-0.53,-0.64,False,HAND_WAVING
-0.07,-0.70,-0.35,False,HAND_WAVING
-0.51,-1.14,-0.68,False,HAND_WAVING
-0.19,-1.40,-0.93,False,HAND_WAVING
0.03,-2.00,-0.56,False,HAND_WAVING
0.14,-2.00,-0.70,False,HAND_WAVING
0.29,-1.81,-1.04,False,HAND_WAVING
0.28,-1.54,-0.92,False,HAND_WAVING
0.21,-1.41,-0.79,False,HAND_WAVING
0.27,-1.06,-0.60,False,HAND_WAVING
0.26,-0.78,-0.38,False,HAND_WAVING
0.17,-0.53,-0.31,False,HAND_WAVING
0.10,-0.38,-0.17,False,HAND_WAVING
-0.02,-0.35,-0.19,False,HAND_WAVING
0.00,-0.32,-0.24,False,HAND_WAVING
0.01,-0.23,-0.16,False,HAND_WAVING
-0.10,-0.43,-0.24,False,HAND_WAVING
0.05,-0.54,-0.14,False,HAND_WAVING
0.43,-0.80,-0.13,False,HAND_WAVING
0.41,-1.02,-0.33,False,HAND_WAVING
0.16,-1.60,-0.38,False,HAND_WAVING
-0.13,-1.86,-0.67,False,HAND_WAVING
-0.58,-2.00,-0.97,False,HAND_WAVING
-0.83,-1.91,-1.16,False,HAND_WAVING
-0.69,-1.60,-0.98,False,HAND_WAVING
-0.72,-1.32,-0.90,False,HAND_WAVING
-0.65,-0.71,-1.15,False,HAND_WAVING
-0.33,-0.61,-0.92,False,HAND_WAVING
-0.14,-0.81,-0.57,False,HAND_WAVING
0.09,-0.96,-0.19,False,HAND_WAVING
0.12,-1.20,0.02,False,HAND_WAVING
0.41,-1.10,0.24,False,HAND_WAVING
0.22,-1.16,0.14,False,HAND_WAVING
0.26,-1.15,-0.03,False,HAND_WAVING
0.21,-1.12,-0.26,False,HAND_WAVING
-0.01,-1.31,-0.39,False,HAND_WAVING
-0.17,-1.05,-0.84,False,HAND_WAVING
0.09,-0.98,-0.41,False,HAND_WAVING
0.11,-0.73,-0.51,False,HAND_WAVING
-0.04,-0.87,-0.45,False,HAND_WAVING
-0.06,-0.96,-0.29,False,HAND_WAVING
-0.17,-1.00,-0.23,False,HAND_WAVING
-0.14,-0.98,0.07,False,HAND_WAVING
-0.25,-0.86,-0.04,False,HAND_WAVING
-0.47,-0.85,-0.06,False,HAND_WAVING
-0.35,-0.90,-0.18,False,HAND_WAVING
-0.45,-0.59,-0.32,False,HAND_WAVING
-0.59,-0.51,-0.29,False,HAND_WAVING
-0.30,-0.60,-0.26,False,HAND_WAVING
-0.61,-0.62,-0.12,False,HAND_WAVING
-0.54,-0.18,-0.02,False,HAND_WAVING
-0.83,-0.09,-0.02,False,HAND_WAVING
-1.09,-0.27,-0.24,False,HAND_WAVING
-0.69,0.17,-0.37,False,HAND_WAVING
-0.24,-0.16,-1.02,False,HAND_WAVING
-0.61,0.20,-1.20,False,HAND_WAVING
-0.63,0.40,-0.60,False,HAND_WAVING
-1.30,-2.00,-0.44,False,HAND_WAVING
-0.74,-0.36,-0.97,False,HAND_WAVING
-0.18,-0.20,-0.48,False,HAND_WAVING
-0.39,-0.14,-0.24,False,HAND_WAVING
-0.16,-0.60,-0.16,False,HAND_WAVING
-0.17,-1.23,0.56,False,HAND_WAVING
