X,Y,Z,FALL,ACTION
0.00,-0.00,1.00,False,SITTING
0.01,0.03,1.00,False,SITTING
0.00,0.02,1.00,False,SITTING
-0.02,0.02,1.61,False,SITTING
0.70,0.78,1.16,False,SITTING
0.24,0.83,1.07,False,SITTING
0.33,0.82,0.91,False,SITTING
0.78,0.47,0.28,False,SITTING
0.97,0.73,0.96,False,SITTING
0.56,0.66,0.36,False,SITTING
0.61,0.32,0.06,False,SITTING
0.88,-0.05,-0.12,False,SITTING
0.76,-0.36,-0.12,False,SITTING
1.05,-0.36,-0.15,False,SITTING
0.73,-0.08,-0.00,False,SITTING
0.80,-0.21,-0.03,False,SITTING
0.88,-0.05,0.14,False,SITTING
0.78,-0.05,0.30,False,SITTING
0.84,0.04,0.38,False,SITTING
0.88,0.04,0.49,False,SITTING
0.90,0.04,0.47,False,SITTING
0.83,0.16,0.50,False,SITTING
0.83,0.23,0.55,False,SITTING
0.74,0.33,0.59,False,SITTING
0.69,0.47,0.66,False,SITTING
0.62,0.52,0.77,False,SITTING
0.75,0.56,0.74,False,SITTING
0.51,0.61,0.94,False,SITTING
0.42,0.66,0.90,False,SITTING
0.54,0.56,0.98,False,SITTING
0.40,0.53,0.94,False,SITTING
0.75,0.59,0.96,False,SITTING
0.63,0.62,0.81,False,SITTING
0.85,0.24,0.86,False,SITTING
1.05,0.66,1.06,False,SITTING
0.99,0.81,0.94,False,SITTING
0.67,0.38,0.54,False,SITTING
0.34,0.85,0.95,False,SITTING
0.06,0.41,0.22,False,SITTING
0.31,0.40,0.47,False,SITTING
0.19,0.69,0.67,False,SITTING
0.16,0.54,0.58,False,SITTING
0.15,0.53,0.67,False,SITTING
0.17,0.83,0.77,False,SITTING
-0.27,0.21,0.49,False,SITTING
0.27,0.72,0.80,False,SITTING
-0.15,0.55,0.57,False,SITTING
0.05,0.58,0.91,False,SITTING
0.19,0.24,0.75,False,SITTING
0.43,0.29,0.88,False,SITTING
0.47,0.27,0.79,False,SITTING
0.74,0.12,0.70,False,SITTING
0.62,0.29,0.75,False,SITTING
0.53,0.10,0.56,False,SITTING
0.79,0.36,0.58,False,SITTING
1.29,0.51,0.51,False,SITTING
1.22,0.10,0.41,False,SITTING
1.27,0.26,0.41,False,SITTING
1.31,0.42,0.43,False,SITTING
1.06,0.25,0.31,False,SITTING
1.22,0.28,0.31,False,SITTING
1.19,0.17,0.21,False,SITTING
1.13,0.25,0.21,False,SITTING
