X,Y,Z,FALL,ACTION
0.11,-0.17,1.03,False,WALKING
0.19,-0.07,1.23,False,WALKING
0.20,0.08,1.13,False,WALKING
0.45,-0.01,1.00,False,WALKING
0.54,-0.07,1.10,False,WALKING
0.47,-0.39,1.19,False,WALKING
0.53,-0.32,1.24,False,WALKING
0.23,0.35,1.12,False,WALKING
0.11,0.09,1.14,False,WALKING
0.06,0.33,1.05,False,WALKING
0.22,0.62,0.73,False,WALKING
-0.20,0.75,0.65,False,WALKING
0.21,0.68,0.61,False,WALKING
0.60,0.50,0.92,False,WALKING
0.52,0.72,0.76,False,WALKING
0.66,0.69,0.64,False,WALKING
0.38,0.51,0.81,False,WALKING
0.61,0.67,0.90,False,WALKING
0.46,0.57,0.76,False,WALKING
0.70,0.43,0.38,False,WALKING
0.59,0.04,0.57,False,WALKING
0.67,0.51,0.99,False,WALKING
0.42,0.40,0.91,False,WALKING
0.95,0.13,0.28,False,WALKING
0.61,0.30,0.98,False,WALKING
0.81,0.16,0.69,False,WALKING
0.88,0.11,0.66,False,WALKING
0.56,0.49,0.75,False,WALKING
0.54,0.62,0.73,False,WALKING
1.03,0.93,0.70,False,WALKING
0.66,0.28,0.27,False,WALKING
0.78,0.64,0.69,False,WALKING
0.52,0.97,0.46,False,WALKING
0.51,1.00,0.40,False,WALKING
0.24,0.79,0.33,False,WALKING
0.39,0.91,0.33,False,WALKING
0.30,0.88,0.33,False,WALKING
0.19,0.80,0.29,False,WALKING
0.40,0.94,0.55,False,WALKING
0.18,0.86,0.39,False,WALKING
0.45,0.90,0.38,False,WALKING
-0.52,0.69,0.35,False,WALKING
0.31,1.05,0.45,False,WALKING
0.02,0.67,0.30,False,WALKING
0.00,0.82,0.31,False,WALKING
0.10,0.87,0.38,False,WALKING
-0.04,1.05,0.46,False,WALKING
-0.09,0.95,0.54,False,WALKING
-0.19,0.98,0.57,False,WALKING
-0.17,0.94,0.56,False,WALKING
-0.10,0.96,0.62,False,WALKING
-0.38,0.91,0.58,False,WALKING
-0.24,0.65,0.55,False,WALKING
-0.15,0.63,0.58,False,WALKING
-0.15,0.76,0.62,False,WALKING
-0.19,0.83,0.58,False,WALKING
-0.09,0.68,0.46,False,WALKING
-0.06,0.58,0.43,False,WALKING
-0.27,0.62,0.47,False,WALKING
-0.54,0.74,0.48,False,WALKING
-0.53,0.76,0.58,False,WALKING
-0.65,0.83,0.51,False,WALKING
-0.56,0.70,0.48,False,WALKING
-0.41,0.70,0.46,False,WALKING
-0.34,0.73,0.47,False,WALKING
-0.29,0.90,0.53,False,WALKING
-0.37,0.83,0.47,False,WALKING
-0.10,0.69,0.47,False,WALKING
-0.27,0.77,0.56,False,WALKING
-0.32,0.87,0.56,False,WALKING
-0.26,0.77,0.50,False,WALKING
-0.13,0.59,0.40,False,WALKING
-0.08,0.64,0.38,False,WALKING
-0.06,0.71,0.42,False,WALKING
-0.16,0.72,0.49,False,WALKING
-0.31,0.66,0.57,False,WALKING
-0.13,0.72,0.65,False,WALKING
-0.38,0.87,0.87,False,WALKING
-0.45,0.98,0.97,False,WALKING
-0.59,0.99,0.84,False,WALKING
-0.37,0.75,0.63,False,WALKING
-0.25,0.42,0.55,False,WALKING
-0.08,0.41,0.68,False,WALKING
-0.18,0.64,0.77,False,WALKING
-0.12,0.85,0.68,False,WALKING
0.13,0.71,0.51,False,WALKING
0.11,0.50,0.52,False,WALKING
0.05,0.53,0.55,False,WALKING
-0.02,0.45,0.61,False,WALKING
-0.32,0.59,0.72,False,WALKING
-0.42,0.77,0.81,False,WALKING
-0.53,0.73,0.89,False,WALKING
-0.51,0.75,0.85,False,WALKING
-0.17,0.81,0.75,False,WALKING
-0.20,0.92,0.71,False,WALKING
-0.09,0.66,0.72,False,WALKING
0.06,0.59,0.75,False,WALKING
0.05,0.77,0.76,False,WALKING
0.02,0.89,0.74,False,WALKING
0.16,0.86,0.65,False,WALKING
0.20,0.82,0.63,False,WALKING
0.19,0.81,0.58,False,WALKING
0.06,0.78,0.61,False,WALKING
-0.46,0.99,0.56,False,WALKING
-0.28,0.56,0.66,False,WALKING
-0.14,0.19,0.24,False,WALKING
0.03,0.99,0.58,False,WALKING
1.50,0.57,0.53,False,WALKING
-0.20,0.55,0.55,False,WALKING
0.06,0.68,0.77,False,WALKING
0.16,0.73,0.64,False,WALKING
0.37,0.69,0.77,False,WALKING
0.27,0.76,0.56,False,WALKING
0.08,0.75,0.73,False,WALKING
0.13,0.80,0.58,False,WALKING
-0.02,0.77,0.64,False,WALKING
-0.32,0.90,0.62,False,WALKING
-0.12,0.93,0.69,False,WALKING
-0.09,0.85,0.72,False,WALKING
-0.10,0.87,0.67,False,WALKING
0.21,0.72,0.88,False,WALKING
0.45,0.49,0.72,False,WALKING
0.71,0.37,0.77,False,WALKING
